"","X","Q1A","Q2A","Q3A","Q4A","Q5A","Q6A","Q7A","Q8A","Q9A","Q10A","Q11A","Q12A","Q13A","Q14A","Q15A","Q16A","Q17A","Q18A","Q19A","Q20A","T1","T2","otwartosc","ugodowosc","kalafior"
"7001",7001,3,2,5,5,5,5,5,2,2,2,5,4,4,5,4,5,5,3,5,2,78,78,13,8,10
"7002",7002,5,5,5,5,5,5,5,4,4,5,4,5,5,5,4,4,4,4,5,3,91,85,11,3,13
"7003",7003,5,2,2,4,4,1,4,5,3,2,4,4,5,5,1,4,4,5,5,3,72,55,11,7,10
"7004",7004,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,96,91,11,7,15
"7005",7005,5,4,4,5,5,5,4,5,2,4,5,5,4,4,5,5,5,5,5,3,89,94,10,10,14
"7006",7006,5,4,4,4,2,5,5,5,5,1,5,5,4,4,4,4,3,5,3,4,81,85,9,6,21
"7007",7007,5,5,5,5,5,5,5,3,5,1,5,5,5,5,5,5,5,5,5,5,94,78,14,2,14
"7008",7008,1,3,1,5,3,1,1,4,4,1,3,3,1,2,5,3,3,5,5,1,55,52,14,10,14
"7009",7009,2,4,1,4,2,4,4,1,1,5,3,1,1,5,2,4,3,3,2,3,55,47,11,8,9
"7010",7010,2,2,1,5,3,4,2,2,1,4,5,3,2,5,2,5,3,3,4,1,59,58,14,10,12
"7011",7011,3,3,5,5,4,4,3,4,3,2,5,5,3,5,3,5,5,4,5,3,79,73,12,3,12
"7012",7012,3,5,5,5,4,4,5,3,2,3,3,4,1,4,3,4,4,5,5,1,73,82,10,7,14
"7013",7013,5,5,3,4,5,5,5,3,1,4,5,5,5,4,5,5,5,5,4,5,88,81,11,10,15
"7014",7014,1,1,3,1,1,1,3,3,1,1,1,1,1,1,1,3,2,1,5,1,33,36,9,6,8
"7015",7015,4,5,5,5,5,5,5,5,1,4,5,5,5,5,1,5,5,3,5,4,87,89,10,3,17
"7016",7016,2,5,5,2,4,4,2,2,1,1,5,5,2,5,4,1,2,4,5,4,65,64,12,8,11
"7017",7017,2,4,3,2,3,3,5,4,1,3,5,2,3,3,4,2,4,2,5,2,62,70,11,8,12
"7018",7018,2,4,2,2,2,3,2,2,1,3,5,5,4,3,3,3,4,4,4,1,59,58,8,9,10
"7019",7019,2,1,1,2,4,2,1,2,1,1,4,4,5,4,1,1,1,1,5,4,47,50,13,13,10
"7020",7020,5,1,1,5,5,5,1,5,3,1,1,3,1,5,5,1,5,1,5,2,61,53,14,11,9
"7021",7021,1,1,3,2,4,1,1,5,1,2,4,2,5,2,1,1,1,5,5,1,48,51,12,10,11
"7022",7022,2,1,4,5,2,3,2,2,1,2,5,2,2,4,1,3,3,1,4,4,53,62,9,11,7
"7023",7023,5,5,5,5,5,5,5,5,2,3,5,5,5,4,3,1,1,5,1,1,76,80,5,5,11
"7024",7024,3,4,2,2,3,4,4,4,2,4,4,3,4,3,3,4,4,2,5,1,65,74,11,5,17
"7025",7025,5,4,4,5,5,3,3,1,2,3,4,5,4,4,4,5,1,3,5,4,74,74,13,10,17
"7026",7026,5,5,4,4,1,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,92,81,13,9,11
"7027",7027,1,2,1,4,2,1,1,5,1,1,4,5,4,3,2,2,2,5,5,2,53,74,13,13,12
"7028",7028,2,1,1,1,1,1,1,4,1,1,5,1,1,5,1,1,2,1,3,1,35,47,13,9,15
"7029",7029,4,3,4,2,4,2,5,1,2,4,5,5,4,4,4,5,4,2,5,1,70,75,8,8,13
"7030",7030,1,1,3,1,2,4,4,1,1,2,3,1,1,1,2,3,2,1,5,1,40,26,12,7,10
"7031",7031,1,2,2,1,1,2,4,1,1,3,5,2,1,2,4,2,3,3,3,3,46,50,12,9,15
"7032",7032,3,5,5,3,4,2,5,4,4,3,5,2,5,5,4,5,5,5,5,1,80,94,10,7,16
"7033",7033,1,1,3,5,5,3,4,4,1,3,5,4,4,5,3,4,4,2,3,2,66,70,7,12,16
"7034",7034,5,5,2,3,5,1,4,4,2,3,5,4,4,5,4,2,3,3,5,1,70,61,5,10,9
"7035",7035,1,5,3,4,3,3,3,3,1,3,5,1,4,4,3,4,2,3,5,1,61,53,12,8,11
"7036",7036,5,4,4,4,4,3,4,5,4,1,5,5,5,2,5,4,5,4,2,4,79,78,12,9,14
"7037",7037,2,4,4,4,2,5,5,2,5,3,5,5,1,5,4,5,5,4,5,4,79,79,14,10,16
"7038",7038,4,3,4,2,4,5,5,1,4,4,5,5,2,4,3,3,4,4,4,1,71,70,10,8,7
"7039",7039,4,3,2,2,4,4,4,2,3,1,5,5,1,4,4,5,5,4,5,1,68,73,6,8,13
"7040",7040,4,5,3,4,3,4,5,4,4,3,4,5,5,4,4,3,3,4,5,2,78,58,9,5,14
"7041",7041,4,1,5,2,5,5,5,2,1,2,5,5,5,5,1,2,5,4,5,1,70,56,10,6,18
"7042",7042,2,4,5,2,1,5,5,2,2,3,4,4,1,3,4,2,3,3,5,1,61,66,13,9,4
"7043",7043,1,2,1,1,1,1,2,2,1,2,1,1,1,2,2,1,3,2,1,1,29,23,11,11,10
"7044",7044,5,5,5,4,5,5,5,4,4,5,5,5,5,4,5,4,5,4,5,1,90,107,11,5,12
"7045",7045,2,5,3,4,5,2,4,4,2,2,4,5,4,4,3,4,3,4,2,3,69,67,10,6,14
"7046",7046,5,2,3,5,5,5,5,4,1,4,5,5,1,5,4,3,3,3,4,2,74,81,11,4,9
"7047",7047,2,4,4,5,4,3,4,4,1,2,5,5,4,5,4,4,5,4,5,1,75,68,10,12,12
"7048",7048,2,1,2,2,2,2,2,4,1,1,3,2,1,3,2,2,3,2,4,5,46,49,11,12,12
"7049",7049,5,5,4,5,5,5,1,5,5,5,5,5,5,5,5,5,1,1,5,5,87,90,8,8,14
"7050",7050,4,5,3,4,4,3,5,2,4,3,4,5,1,5,4,4,1,3,5,4,73,75,12,10,13
"7051",7051,4,5,4,4,5,5,5,4,3,4,4,4,4,4,4,5,5,5,4,4,86,79,10,11,7
"7052",7052,3,3,3,4,3,5,4,2,3,3,5,3,4,4,4,4,4,5,4,2,72,71,14,11,11
"7053",7053,5,5,2,4,5,4,5,5,4,4,5,4,5,5,5,2,5,5,5,5,89,81,11,6,8
"7054",7054,1,2,1,4,4,1,1,5,1,1,3,5,1,5,2,1,5,1,5,5,54,80,4,7,10
"7055",7055,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,2,95,89,12,7,17
"7056",7056,2,4,2,2,4,2,3,3,2,2,3,5,4,5,5,2,4,4,5,1,64,54,13,12,11
"7057",7057,1,1,1,2,5,1,1,1,1,1,1,5,1,4,4,2,5,2,3,1,43,37,13,11,16
"7058",7058,4,1,2,4,5,1,2,4,1,1,4,4,5,4,1,4,1,4,5,2,59,52,12,12,12
"7059",7059,1,2,2,1,4,2,4,2,1,1,4,4,2,2,4,1,1,4,4,1,47,44,12,13,11
"7060",7060,5,4,5,4,5,4,4,4,4,4,5,4,4,5,4,5,5,4,5,3,87,90,14,4,9
"7061",7061,3,4,4,2,4,4,5,4,3,3,4,5,4,4,4,4,4,5,5,3,78,70,11,7,15
