"","X","Q1A","Q2A","Q3A","Q4A","Q5A","Q6A","Q7A","Q8A","Q9A","Q10A","Q11A","Q12A","Q13A","Q14A","Q15A","Q16A","Q17A","Q18A","Q19A","Q20A","T1","T2","otwartosc","ugodowosc","kalafior"
"13001",13001,5,5,4,5,4,5,1,5,3,4,5,5,5,5,5,1,5,5,5,5,87,87,9,2,17
"13002",13002,5,5,5,5,5,4,5,5,1,5,5,4,4,5,5,4,5,5,5,1,88,85,13,6,11
"13003",13003,4,5,4,2,4,2,2,4,2,2,4,4,4,4,5,2,5,2,5,1,67,62,7,13,10
"13004",13004,1,4,3,2,2,4,5,4,2,4,5,3,1,5,4,4,3,2,4,1,63,66,12,13,10
"13005",13005,3,1,2,1,1,5,5,1,1,2,4,4,1,4,4,2,4,1,5,1,52,54,12,9,6
"13006",13006,1,5,4,1,4,5,5,2,1,4,5,4,1,5,5,5,5,2,5,3,72,69,10,14,8
"13007",13007,5,4,5,5,4,5,5,5,3,2,5,5,4,5,3,5,5,1,3,1,80,70,10,10,17
"13008",13008,4,4,5,2,5,5,5,1,1,1,5,4,1,5,2,4,4,1,5,1,65,45,4,12,18
"13009",13009,5,5,1,5,5,5,5,2,1,5,5,5,5,1,5,5,5,1,5,1,77,73,14,8,8
"13010",13010,1,1,1,1,5,2,4,1,1,5,5,5,1,3,3,2,5,1,3,1,51,39,8,11,10
"13011",13011,1,4,3,1,2,5,5,1,1,2,5,1,2,4,2,4,4,4,5,1,57,54,9,11,12
"13012",13012,1,1,2,1,2,4,4,1,1,4,4,1,1,4,3,4,4,2,5,1,50,47,9,9,14
"13013",13013,2,1,4,3,1,4,4,1,1,2,5,2,1,3,2,2,5,5,5,4,57,54,8,10,15
"13014",13014,4,3,4,5,4,4,4,4,1,3,5,5,2,5,2,5,3,3,1,1,68,75,7,9,11
"13015",13015,3,3,2,1,3,5,5,2,1,2,4,1,4,3,1,4,3,3,5,4,59,71,8,8,13
"13016",13016,5,4,5,5,4,5,4,1,3,4,5,4,5,3,5,4,2,3,5,2,78,76,13,8,14
"13017",13017,4,5,4,4,5,2,4,4,2,2,5,4,4,2,4,2,4,5,5,1,72,90,13,9,8
"13018",13018,2,1,2,5,3,5,5,5,4,5,4,5,4,3,3,4,2,5,5,4,76,73,14,7,19
"13019",13019,4,4,1,4,5,4,5,1,1,5,5,5,1,4,1,5,5,1,2,1,64,69,11,9,12
"13020",13020,3,1,2,2,4,2,2,5,1,1,2,1,2,3,2,2,4,3,5,3,50,54,12,11,13
"13021",13021,4,4,5,4,4,5,5,2,4,4,5,3,1,5,4,5,5,4,4,4,81,92,12,11,11
"13022",13022,4,5,4,4,5,4,5,5,1,2,5,5,1,5,5,5,5,5,5,5,85,78,5,4,13
"13023",13023,2,1,5,4,2,2,4,2,2,2,4,4,2,1,1,2,1,3,3,2,49,51,7,11,9
"13024",13024,4,1,4,3,2,4,5,2,2,2,5,2,1,5,4,3,5,2,5,1,62,66,11,12,17
"13025",13025,1,1,1,1,3,3,5,1,1,1,3,3,1,3,3,4,1,4,5,1,46,59,10,14,10
"13026",13026,5,1,5,4,5,1,1,4,1,1,5,4,5,1,1,1,5,1,5,1,57,74,13,9,17
"13027",13027,1,2,3,1,2,2,5,1,1,1,5,2,2,2,2,2,5,1,5,1,46,45,7,13,13
"13028",13028,2,1,1,2,2,2,1,5,1,1,4,5,1,4,1,1,1,2,4,2,43,37,13,8,11
"13029",13029,5,4,5,3,5,3,5,4,1,3,5,5,5,4,4,2,5,5,5,1,79,84,9,13,9
"13030",13030,1,1,2,5,2,1,3,1,3,1,3,1,1,1,1,1,5,1,2,1,37,48,13,13,15
"13031",13031,2,3,4,2,2,2,5,2,1,2,5,4,2,3,3,1,5,4,5,3,60,56,8,12,14
"13032",13032,4,4,5,5,5,5,5,5,5,2,5,4,4,4,4,5,5,5,5,4,90,79,10,8,8
"13033",13033,1,1,2,2,2,4,5,2,1,4,1,5,1,2,1,1,2,1,5,1,44,68,9,11,11
"13034",13034,4,3,3,1,2,4,5,4,2,4,2,3,2,4,5,4,3,4,4,1,64,66,10,8,15
"13035",13035,3,1,4,4,2,4,5,4,2,4,5,1,2,5,5,2,2,5,5,1,66,62,13,8,16
"13036",13036,5,1,4,3,5,2,1,4,1,5,5,5,1,2,4,1,5,2,5,1,62,55,11,10,9
"13037",13037,4,4,1,2,4,4,4,1,1,3,5,4,2,4,4,3,4,5,5,1,65,72,14,9,15
"13038",13038,1,3,1,2,1,4,4,3,3,2,4,3,4,4,2,4,5,4,5,1,60,63,8,12,10
"13039",13039,4,5,5,4,5,5,5,3,3,2,4,5,5,5,5,3,5,4,5,3,85,99,6,9,10
"13040",13040,1,1,4,2,1,4,4,1,1,1,5,1,1,3,1,1,1,1,4,1,39,49,8,8,12
"13041",13041,2,2,5,2,2,2,4,1,1,2,4,4,1,2,4,2,3,2,5,1,51,53,12,9,11
"13042",13042,1,1,1,1,3,2,2,1,1,1,2,5,1,4,1,1,2,1,1,1,33,36,12,8,19
"13043",13043,3,2,5,4,5,5,5,4,1,4,5,4,1,4,5,5,5,4,5,1,77,91,5,8,11
"13044",13044,2,4,2,2,1,4,4,1,1,2,5,4,2,2,4,4,4,3,5,1,57,58,5,14,12
"13045",13045,4,1,1,2,5,4,2,2,1,4,4,4,5,2,4,4,5,2,4,1,61,59,12,14,8
"13046",13046,2,5,4,2,1,4,4,4,1,1,5,1,2,3,4,4,1,4,5,1,58,51,10,13,12
"13047",13047,3,4,4,5,4,4,5,4,2,3,5,5,2,4,1,2,4,4,5,1,71,74,12,10,9
"13048",13048,5,5,5,5,4,4,3,5,3,5,5,4,5,5,5,4,3,4,2,5,86,72,12,6,9
"13049",13049,4,2,2,2,2,1,1,2,1,2,3,5,2,4,3,4,4,2,5,4,55,48,12,12,12
"13050",13050,4,5,5,3,5,5,5,5,1,5,5,5,5,5,4,5,5,5,5,1,88,98,11,4,15
"13051",13051,3,2,4,2,5,4,5,4,4,5,5,5,5,5,5,4,2,4,5,4,82,89,10,10,13
"13052",13052,2,2,4,2,2,2,4,2,1,2,3,4,2,4,4,2,3,2,4,2,53,41,11,8,14
"13053",13053,1,3,3,2,2,5,4,3,1,2,3,5,1,3,1,4,2,1,5,1,52,61,11,8,9
"13054",13054,4,2,5,4,4,5,5,4,2,5,5,4,5,4,5,5,5,4,5,1,83,67,10,7,13
"13055",13055,1,1,3,2,1,4,4,2,1,1,4,1,1,2,2,2,5,1,5,4,47,59,13,8,9
"13056",13056,4,1,2,3,3,1,1,4,2,4,2,2,5,4,2,1,4,2,5,1,53,59,13,9,13
"13057",13057,4,1,2,5,1,5,5,1,2,4,5,5,2,5,3,5,4,5,5,5,74,61,14,8,12
"13058",13058,1,1,3,1,1,5,4,1,1,4,5,5,1,4,1,5,5,4,1,1,54,51,6,7,17
"13059",13059,2,2,5,5,5,5,5,5,4,5,5,5,1,5,4,5,1,2,5,1,77,73,8,8,13
"13060",13060,4,4,2,2,4,5,5,3,4,2,4,5,4,4,5,5,5,2,5,1,75,80,14,8,9
"13061",13061,4,1,5,5,3,3,5,4,3,4,4,1,1,4,1,5,3,1,4,3,64,47,12,8,8
"13062",13062,2,2,5,4,2,4,4,4,2,4,5,2,2,2,5,4,5,3,5,1,67,67,13,6,17
"13063",13063,1,4,1,2,4,5,5,1,1,2,5,1,2,2,1,1,5,4,5,1,53,38,13,8,10
"13064",13064,1,3,2,3,1,5,5,1,1,1,3,4,1,3,3,5,2,1,5,1,51,50,13,12,10
"13065",13065,2,4,3,5,4,5,5,3,1,3,5,5,3,5,1,2,5,5,5,2,73,69,11,13,9
"13066",13066,4,3,5,1,2,4,5,1,1,2,4,5,4,2,4,1,5,2,5,1,61,53,13,11,10
"13067",13067,1,1,4,4,2,5,5,2,1,2,5,5,4,5,5,1,5,1,5,1,64,84,13,7,10
"13068",13068,2,3,4,2,3,4,5,1,1,4,5,5,4,3,4,4,4,4,4,4,70,54,13,9,12
"13069",13069,3,5,3,1,4,5,4,1,1,2,4,2,1,3,3,4,4,4,5,1,60,64,11,9,11
"13070",13070,3,2,1,1,4,5,5,4,1,1,2,4,1,1,4,5,5,3,5,2,59,63,6,12,10
"13071",13071,1,1,5,1,1,5,4,1,1,4,5,5,1,5,1,5,2,4,5,1,58,41,13,9,15
"13072",13072,5,5,4,5,4,4,4,5,5,5,3,5,5,4,5,1,4,4,4,5,86,94,7,5,12
"13073",13073,2,2,4,2,2,2,4,2,1,2,5,2,4,3,2,4,4,2,5,2,56,62,12,12,13
"13074",13074,5,5,4,3,4,5,5,2,5,4,4,4,4,5,4,4,5,1,4,1,78,80,13,7,13
"13075",13075,1,1,5,2,1,5,5,1,1,1,3,1,1,2,1,4,4,1,5,5,50,52,12,13,9
"13076",13076,1,2,1,1,4,1,5,1,1,1,5,5,1,1,4,1,1,4,5,2,47,50,12,5,11
"13077",13077,1,2,4,4,4,3,4,2,2,1,5,2,4,4,2,4,2,2,5,3,60,60,12,6,13
"13078",13078,1,4,5,1,5,5,4,2,1,1,5,5,1,4,2,5,5,1,5,1,63,71,7,8,13
"13079",13079,1,3,4,1,1,4,4,1,2,4,3,4,1,2,4,5,1,5,5,3,58,71,13,10,9
"13080",13080,1,1,5,1,1,5,5,1,3,4,4,5,1,4,5,5,5,4,5,5,70,75,14,9,13
"13081",13081,1,4,4,2,2,4,5,2,2,1,4,4,1,4,4,5,4,4,5,1,63,60,9,10,18
"13082",13082,4,4,5,5,5,4,5,5,3,4,5,4,5,4,3,5,1,3,5,5,84,65,8,3,14
"13083",13083,2,1,2,3,2,5,4,2,2,2,5,1,2,5,4,3,4,4,5,2,60,64,11,12,15
"13084",13084,2,5,3,3,3,5,4,4,2,2,4,5,4,4,4,5,4,4,3,1,71,67,14,10,11
"13085",13085,5,2,5,4,5,5,5,1,1,4,5,5,2,5,1,1,5,4,5,3,73,76,14,9,10
"13086",13086,2,4,5,2,4,5,5,1,1,4,5,4,4,1,2,5,5,5,5,1,70,65,14,10,11
"13087",13087,4,4,4,3,4,3,3,4,1,3,3,2,2,4,5,3,4,2,5,1,64,52,9,6,14
"13088",13088,5,4,5,3,5,5,5,3,4,5,3,5,1,2,3,5,4,2,5,1,75,80,14,12,12
"13089",13089,2,2,4,3,4,3,3,2,2,2,3,4,2,3,2,3,5,2,4,1,56,57,11,9,14
"13090",13090,4,4,5,5,1,5,5,5,3,4,5,3,4,5,4,5,5,4,5,4,85,95,13,4,10
"13091",13091,4,1,4,2,4,2,4,4,1,4,5,4,5,4,1,4,2,5,5,1,66,58,13,5,11
"13092",13092,2,2,4,4,4,3,5,4,2,3,5,4,4,4,2,4,2,5,5,3,71,68,11,7,11
"13093",13093,5,4,5,3,1,5,5,2,1,3,5,5,2,4,4,5,4,3,5,1,72,79,14,14,12
"13094",13094,2,4,2,2,2,4,5,5,1,2,4,2,2,5,5,1,4,4,4,1,61,53,7,12,12
"13095",13095,2,1,2,3,3,5,5,3,1,2,5,2,2,4,1,4,4,1,5,3,58,60,12,12,9
"13096",13096,2,2,2,2,2,2,1,1,1,3,4,3,1,2,3,4,4,4,5,1,49,56,9,11,7
"13097",13097,4,4,5,4,4,5,5,5,3,4,5,5,4,4,4,5,5,3,2,2,82,74,13,8,14
"13098",13098,1,1,5,1,1,4,5,1,1,4,5,5,1,5,4,5,5,4,5,1,64,58,8,14,12
"13099",13099,2,2,3,3,2,2,2,3,2,2,4,4,2,3,2,4,3,4,5,2,56,68,8,10,10
"13100",13100,4,4,5,4,4,4,5,2,1,4,4,2,1,4,5,1,4,2,4,1,65,61,13,14,5
"13101",13101,1,2,3,1,2,4,5,2,1,3,3,1,1,4,4,3,2,2,4,1,49,53,11,7,14
"13102",13102,2,2,3,2,4,2,5,1,1,1,5,1,2,4,2,4,2,2,5,1,51,50,11,12,9
"13103",13103,2,1,4,2,4,1,2,2,1,1,3,4,4,2,3,4,1,2,5,2,50,53,10,7,19
"13104",13104,2,4,2,4,5,5,4,4,1,2,4,4,2,3,4,1,4,3,1,1,60,51,14,14,9
"13105",13105,1,4,1,1,4,2,2,1,1,1,4,5,4,2,3,2,1,5,5,1,50,45,10,13,11
"13106",13106,1,1,5,1,1,5,5,1,1,1,3,4,1,1,1,5,1,1,5,1,45,43,14,14,12
"13107",13107,1,1,5,2,4,4,1,1,1,1,5,1,5,2,4,5,5,2,5,1,56,59,11,14,14
"13108",13108,2,1,1,4,4,2,4,2,2,1,2,1,4,5,2,5,2,2,5,1,52,42,14,12,16
"13109",13109,4,3,5,3,5,5,4,1,3,4,5,2,3,2,2,5,5,2,5,3,71,72,12,7,14
"13110",13110,5,4,2,2,5,5,4,5,1,2,5,5,4,4,4,5,5,4,5,1,77,86,12,8,8
"13111",13111,5,5,4,5,5,5,5,5,5,5,3,5,5,5,5,2,5,4,5,5,93,88,13,2,17
"13112",13112,1,1,4,4,1,4,5,2,1,1,5,2,2,2,5,5,1,5,5,5,61,71,14,4,13
"13113",13113,3,3,3,2,5,3,4,4,2,4,5,2,1,2,3,3,5,3,5,4,66,61,10,7,17
"13114",13114,1,1,1,1,1,2,4,2,1,1,1,1,1,1,1,2,2,2,5,1,32,38,12,14,21
"13115",13115,1,1,3,1,1,5,3,1,1,5,5,1,1,1,1,5,3,1,1,1,42,29,5,10,10
"13116",13116,1,1,3,1,1,4,5,1,1,3,3,1,1,1,5,5,5,1,5,1,49,59,12,12,8
"13117",13117,1,1,1,4,4,2,5,1,1,4,5,4,4,4,1,4,5,5,5,1,62,62,7,14,15
"13118",13118,1,4,5,2,2,5,5,2,1,5,5,2,1,5,3,3,5,2,5,5,68,77,4,5,9
"13119",13119,2,1,5,4,2,2,4,2,1,2,4,4,1,3,3,5,2,5,4,2,58,76,12,9,14
"13120",13120,1,3,3,2,3,2,3,2,1,3,2,3,2,3,4,3,3,3,5,2,53,51,8,7,8
"13121",13121,4,4,5,4,5,5,5,5,4,2,5,5,5,4,2,5,4,5,5,4,87,89,10,7,13
"13122",13122,2,4,4,3,2,4,5,2,2,2,4,4,4,3,2,3,2,4,5,1,62,61,11,10,12
"13123",13123,4,4,3,2,4,4,5,2,2,4,4,4,2,4,5,4,5,2,4,1,69,64,11,6,9
"13124",13124,1,1,1,4,5,4,4,2,1,4,2,4,4,5,1,1,5,4,5,1,59,53,12,13,14
"13125",13125,4,4,2,2,2,4,4,4,1,4,5,2,2,2,4,2,4,4,4,2,62,73,12,14,13
"13126",13126,1,1,4,5,4,4,1,2,1,1,4,4,4,5,3,4,5,2,5,1,61,70,12,8,11
