"","X","Q1A","Q2A","Q3A","Q4A","Q5A","Q6A","Q7A","Q8A","Q9A","Q10A","Q11A","Q12A","Q13A","Q14A","Q15A","Q16A","Q17A","Q18A","Q19A","Q20A","T1","T2","otwartosc","ugodowosc","kalafior"
"8501",8501,1,4,2,1,2,4,4,4,2,3,5,1,1,4,2,2,4,2,4,2,54,47,8,10,10
"8502",8502,2,2,4,3,3,4,5,4,1,2,4,2,2,3,3,3,5,5,4,3,64,60,5,9,14
"8503",8503,1,1,1,1,4,2,1,1,1,1,3,4,1,1,1,1,5,4,5,1,40,40,10,8,10
"8504",8504,1,2,2,2,2,3,2,2,1,1,4,5,2,4,3,4,3,2,5,1,51,49,11,10,14
"8505",8505,4,4,3,5,2,4,4,5,5,4,5,4,2,5,4,5,3,3,5,2,78,83,9,6,11
"8506",8506,4,1,4,5,4,4,4,4,1,2,5,4,5,5,1,5,5,1,5,5,74,91,14,4,13
"8507",8507,4,3,3,2,1,4,4,1,2,5,4,2,1,2,4,2,4,4,5,2,59,53,10,8,15
"8508",8508,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,99,94,14,9,12
"8509",8509,1,5,5,1,4,4,5,5,1,3,5,4,4,3,5,1,5,4,5,5,75,86,13,8,13
"8510",8510,3,2,4,3,4,4,5,2,1,4,4,4,3,5,2,5,5,5,5,1,71,70,12,13,15
"8511",8511,1,4,3,1,2,2,4,2,1,1,3,1,1,3,1,3,3,5,4,1,46,48,12,10,15
"8512",8512,4,4,2,4,5,5,5,2,2,2,5,5,1,4,4,2,4,5,4,3,72,70,14,12,12
"8513",8513,3,3,5,5,5,3,3,5,3,3,5,5,1,5,5,1,5,5,5,5,80,77,13,5,6
"8514",8514,5,4,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,1,91,83,14,5,10
"8515",8515,4,4,2,2,5,4,4,2,3,2,5,1,3,4,4,2,2,4,4,3,64,74,12,6,10
"8516",8516,3,2,3,5,2,4,5,4,2,3,2,2,3,3,4,5,3,4,5,2,66,53,11,8,11
"8517",8517,4,1,2,1,4,2,4,1,1,3,4,2,1,4,1,2,2,1,2,1,43,32,5,9,13
"8518",8518,4,3,5,4,3,4,5,1,1,4,4,4,2,5,4,4,3,5,5,1,71,80,9,7,11
"8519",8519,5,5,3,3,5,4,4,4,3,4,4,5,5,4,4,1,2,5,5,4,79,57,12,4,9
"8520",8520,4,5,4,3,5,4,4,4,4,5,5,5,2,4,5,4,5,4,5,5,86,99,9,7,11
"8521",8521,4,2,5,4,4,5,5,4,4,5,5,5,1,4,2,5,4,5,5,2,80,83,13,6,7
"8522",8522,1,2,3,2,4,2,4,1,1,2,4,3,1,3,3,2,3,4,5,1,51,57,12,10,9
"8523",8523,2,3,2,1,4,1,4,1,1,2,4,3,1,2,4,2,4,3,5,1,50,63,8,9,13
"8524",8524,2,4,5,4,4,2,2,4,4,1,5,4,2,5,4,4,1,5,5,1,68,69,6,6,8
"8525",8525,3,3,2,1,4,2,3,4,1,4,4,4,4,3,4,2,2,4,5,4,63,70,9,14,12
"8526",8526,4,4,4,3,4,4,5,2,4,4,4,2,3,5,4,4,4,4,5,4,77,81,12,6,10
"8527",8527,2,2,2,2,2,4,4,4,2,2,4,2,4,2,2,2,4,4,5,1,56,52,9,8,10
"8528",8528,5,5,5,5,5,5,5,4,5,4,5,4,3,5,5,2,5,2,5,3,87,92,14,9,9
"8529",8529,2,3,3,4,2,5,4,5,3,2,4,2,3,4,4,5,3,3,5,1,67,91,13,8,10
"8530",8530,2,3,4,2,5,2,3,3,1,1,2,5,5,3,1,1,2,4,5,1,55,45,13,9,11
"8531",8531,4,5,4,4,3,4,4,2,3,4,5,4,4,4,5,5,1,4,4,2,75,58,9,5,11
"8532",8532,2,2,4,1,2,2,2,2,1,2,4,1,1,4,3,2,4,2,3,1,45,28,7,9,7
