"","X","Q1A","Q2A","Q3A","Q4A","Q5A","Q6A","Q7A","Q8A","Q9A","Q10A","Q11A","Q12A","Q13A","Q14A","Q15A","Q16A","Q17A","Q18A","Q19A","Q20A","T1","T2","otwartosc","ugodowosc","kalafior"
"15501",15501,4,2,3,2,4,4,5,2,1,1,4,5,3,3,4,4,3,2,4,1,61,72,9,8,9
"15502",15502,1,2,2,1,2,4,5,2,1,1,4,1,3,2,4,5,5,2,4,1,52,51,11,13,8
"15503",15503,5,4,5,4,4,5,5,4,4,4,4,5,1,4,4,5,5,3,5,4,84,87,14,4,11
"15504",15504,4,5,2,1,5,1,1,2,3,3,2,4,2,3,5,2,5,3,5,1,59,66,10,12,10
"15505",15505,4,2,4,2,2,4,4,2,1,2,4,2,4,4,1,2,4,2,5,1,56,51,11,10,10
"15506",15506,2,4,1,2,1,2,4,1,1,3,3,4,4,4,4,2,2,4,4,2,54,71,11,8,11
"15507",15507,2,4,1,1,1,1,4,2,1,1,4,2,1,4,4,2,4,2,5,1,47,60,12,8,8
"15508",15508,3,3,3,3,4,4,4,1,2,4,5,3,5,1,4,3,4,4,5,5,70,71,13,11,11
"15509",15509,5,4,5,3,5,5,5,4,4,5,5,5,5,4,5,5,1,5,1,2,83,78,10,7,6
"15510",15510,5,5,3,5,5,5,5,5,2,4,5,5,5,5,4,5,5,5,5,5,93,101,12,4,13
"15511",15511,1,1,1,4,1,4,5,3,1,1,5,1,1,2,2,5,2,1,1,1,43,48,14,11,8
"15512",15512,4,5,2,3,5,5,5,3,3,3,5,5,2,3,5,4,5,4,5,5,81,91,14,9,5
"15513",15513,5,5,2,2,5,5,5,1,1,5,4,5,5,3,3,2,1,5,5,1,70,83,13,8,10
"15514",15514,1,2,2,4,4,1,1,1,1,1,1,1,2,2,4,5,5,4,1,1,44,51,8,13,12
"15515",15515,5,5,2,2,5,4,5,4,1,5,4,5,1,2,5,4,5,2,5,1,72,70,4,13,10
"15516",15516,1,1,2,1,1,4,4,3,1,3,4,1,1,4,3,1,1,1,4,1,42,34,8,9,20
"15517",15517,5,5,5,5,5,5,5,1,1,4,5,5,5,5,2,5,3,1,5,5,82,85,14,7,9
"15518",15518,2,5,4,5,5,4,5,3,2,4,5,5,4,4,4,1,5,5,4,2,78,71,13,7,12
"15519",15519,4,4,5,5,4,5,5,3,5,2,5,4,4,5,3,5,5,4,5,2,84,80,13,10,9
"15520",15520,2,4,4,1,4,2,4,1,1,2,4,4,1,1,2,2,3,2,5,4,53,56,8,9,11
"15521",15521,5,5,3,5,4,5,5,3,2,2,5,5,4,5,4,5,5,3,4,2,81,87,13,8,9
"15522",15522,4,4,2,2,4,5,5,2,2,5,4,4,2,4,4,5,4,3,5,4,74,79,12,8,7
"15523",15523,4,5,3,2,4,4,5,2,1,4,5,1,5,3,1,1,4,5,5,1,65,64,7,4,15
"15524",15524,3,4,4,4,5,3,4,5,3,4,5,5,2,5,4,5,3,5,5,1,79,79,13,13,17
"15525",15525,5,2,5,5,5,4,4,5,2,4,5,4,5,4,5,4,5,5,5,2,85,87,11,13,11
"15526",15526,4,1,1,4,2,1,1,2,1,1,4,4,4,3,3,5,3,1,1,1,47,27,9,10,12
"15527",15527,1,1,2,2,2,3,1,2,1,1,3,2,3,2,3,1,4,1,5,1,41,50,8,10,14
"15528",15528,1,2,5,1,1,5,5,2,2,3,4,1,1,1,4,1,3,3,5,1,51,57,10,8,10
"15529",15529,2,1,2,1,2,2,4,1,1,4,4,4,1,4,5,4,4,3,5,2,56,54,8,9,10
"15530",15530,3,5,5,5,5,4,4,3,1,2,3,4,3,5,4,5,5,3,3,2,74,81,9,8,7
"15531",15531,4,5,5,2,2,5,5,4,4,5,4,5,1,4,5,5,5,5,5,1,81,62,12,7,7
"15532",15532,4,2,2,4,4,2,5,4,1,4,5,5,2,5,4,5,5,4,4,1,72,83,12,11,14
"15533",15533,1,4,1,1,4,2,4,4,1,1,5,4,1,4,4,4,5,2,5,1,58,65,13,13,15
"15534",15534,3,5,3,3,3,4,4,5,3,3,4,1,5,4,4,3,4,3,4,4,72,63,14,11,11
"15535",15535,5,5,3,5,5,4,2,4,1,4,5,5,3,4,1,4,5,2,5,1,73,71,10,8,13
"15536",15536,1,2,2,1,2,4,4,2,1,1,4,2,2,2,1,4,3,1,4,1,44,43,12,12,13
"15537",15537,1,1,1,1,1,1,4,1,1,2,5,1,1,2,1,1,1,1,1,1,29,22,12,13,13
"15538",15538,1,1,4,4,1,5,4,2,1,1,5,3,1,5,1,2,5,5,1,1,53,65,6,8,12
"15539",15539,1,2,4,3,5,5,5,1,4,2,5,4,2,5,3,5,5,4,5,1,71,66,14,11,12
