"","X","Q1A","Q2A","Q3A","Q4A","Q5A","Q6A","Q7A","Q8A","Q9A","Q10A","Q11A","Q12A","Q13A","Q14A","Q15A","Q16A","Q17A","Q18A","Q19A","Q20A","T1","T2","otwartosc","ugodowosc","kalafior"
"14501",14501,5,5,5,3,4,5,5,4,3,2,5,3,3,4,4,4,1,5,5,1,76,90,8,8,14
"14502",14502,5,4,5,4,5,5,5,2,3,3,5,5,1,5,2,5,3,5,5,1,78,81,7,8,13
"14503",14503,1,3,4,4,2,3,4,2,3,1,5,4,1,4,3,1,4,4,5,4,62,58,11,11,12
"14504",14504,1,2,1,2,4,3,2,2,1,1,4,4,5,4,1,2,3,4,5,4,55,74,6,6,10
"14505",14505,5,4,5,5,4,5,5,4,4,4,5,4,2,4,5,5,2,5,5,1,83,82,12,8,12
"14506",14506,1,4,2,2,2,2,4,4,1,1,5,1,1,4,2,5,5,5,5,1,57,57,13,8,12
"14507",14507,5,5,1,4,4,5,5,4,2,4,5,5,2,4,5,5,5,4,4,1,79,81,7,11,11
"14508",14508,1,2,2,2,1,5,5,2,1,1,5,2,1,5,4,5,5,4,1,1,55,56,13,12,15
"14509",14509,1,1,4,3,1,2,5,1,1,2,5,4,1,1,1,4,4,4,5,1,51,54,13,11,16
"14510",14510,5,5,5,5,3,5,5,5,5,5,5,5,5,5,4,2,5,5,5,5,94,102,4,3,14
"14511",14511,5,4,5,5,5,5,5,4,5,4,5,5,4,5,4,5,5,4,5,5,94,98,14,5,14
"14512",14512,4,2,2,4,3,4,5,3,1,4,5,3,2,3,3,3,1,4,3,1,60,54,13,8,17
"14513",14513,5,4,2,5,4,5,5,4,1,4,5,2,4,4,2,4,4,4,4,1,73,67,9,11,12
"14514",14514,5,3,1,5,5,5,5,5,1,1,5,4,5,5,5,1,5,5,5,3,79,74,10,7,4
"14515",14515,1,2,1,1,1,4,5,1,1,1,2,1,1,3,4,4,2,1,5,1,42,41,8,13,12
