"","X","Q1A","Q2A","Q3A","Q4A","Q5A","Q6A","Q7A","Q8A","Q9A","Q10A","Q11A","Q12A","Q13A","Q14A","Q15A","Q16A","Q17A","Q18A","Q19A","Q20A","T1","T2","otwartosc","ugodowosc","kalafior"
"2001",2001,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,1,5,5,3,86,84,7,11,13
"2002",2002,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,5,97,118,11,4,7
"2003",2003,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,97,93,14,8,10
"2004",2004,5,5,4,4,5,2,4,4,2,5,4,5,4,5,5,5,5,5,5,2,85,96,8,5,16
"2005",2005,2,2,4,5,3,4,5,2,1,4,5,4,2,4,4,5,4,4,5,5,74,69,6,11,9
"2006",2006,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,1,5,5,5,1,88,88,12,11,17
"2007",2007,4,4,4,5,4,5,3,4,5,4,5,5,3,5,4,5,2,4,4,3,82,77,9,4,12
"2008",2008,2,4,3,4,2,2,4,1,1,4,4,4,1,4,4,4,4,4,4,1,61,62,13,8,8
"2009",2009,5,2,3,2,3,2,5,2,3,4,4,4,3,4,4,2,4,4,5,1,66,71,12,9,11
"2010",2010,3,3,5,4,4,5,5,1,3,5,5,4,3,4,5,5,3,5,5,1,78,84,14,11,11
"2011",2011,4,3,5,3,4,4,5,3,4,3,5,5,5,3,5,5,5,3,5,5,84,82,14,10,10
"2012",2012,5,5,5,4,5,5,5,4,5,4,5,5,1,4,5,5,5,5,3,1,86,74,10,6,13
"2013",2013,4,4,4,4,4,4,4,3,3,1,4,4,4,4,4,4,3,4,1,2,69,70,8,6,14
"2014",2014,4,3,5,5,4,5,5,4,4,4,3,5,4,5,2,5,1,5,3,4,80,81,10,5,16
"2015",2015,5,2,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,2,3,1,84,91,12,8,8
"2016",2016,4,4,4,3,4,4,4,4,3,3,4,3,4,4,4,3,4,4,4,3,74,63,9,5,9
"2017",2017,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,98,99,11,6,16
"2018",2018,4,4,1,2,2,1,1,4,2,1,1,4,5,3,1,1,2,1,4,5,49,55,13,10,15
"2019",2019,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,2,93,100,12,10,10
"2020",2020,4,4,1,5,4,4,5,4,3,2,5,5,2,3,4,5,4,4,5,4,77,89,4,10,13
"2021",2021,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,96,89,14,8,5
