"","X","Q1A","Q2A","Q3A","Q4A","Q5A","Q6A","Q7A","Q8A","Q9A","Q10A","Q11A","Q12A","Q13A","Q14A","Q15A","Q16A","Q17A","Q18A","Q19A","Q20A","T1","T2","otwartosc","ugodowosc","kalafior"
"18001",18001,3,4,1,5,5,4,3,4,2,2,4,5,2,5,4,5,4,4,5,1,72,69,11,14,12
"18002",18002,4,4,5,2,2,2,5,2,1,4,4,5,4,4,4,4,4,4,5,2,71,65,2,8,13
"18003",18003,5,1,4,1,4,3,1,5,4,3,5,3,1,4,2,5,3,5,5,3,67,65,12,13,13
"18004",18004,4,4,5,2,5,5,5,3,1,2,5,5,4,2,1,1,1,5,5,1,66,56,14,6,11
"18005",18005,1,1,1,4,1,2,4,1,1,1,5,4,1,2,3,4,2,3,5,1,47,53,11,8,12
"18006",18006,1,4,5,2,1,5,5,4,1,5,5,5,3,5,3,5,5,4,5,4,77,74,11,5,9
"18007",18007,2,5,2,5,4,4,5,5,1,1,5,2,1,5,3,3,2,2,3,5,65,56,5,12,11
"18008",18008,1,1,5,5,4,1,1,1,1,1,5,2,4,5,4,5,1,4,5,3,59,69,14,9,13
"18009",18009,1,1,5,5,5,1,3,1,1,1,5,5,1,5,1,1,5,5,5,1,58,46,10,12,10
"18010",18010,1,2,2,3,5,2,4,2,1,2,4,5,1,5,1,2,4,2,5,2,55,49,4,8,15
"18011",18011,2,2,5,1,1,2,4,3,1,4,5,1,2,3,2,3,5,4,5,3,58,63,8,12,16
"18012",18012,4,2,2,4,2,4,3,2,2,2,4,2,2,2,1,2,3,1,4,2,50,48,5,7,9
"18013",18013,3,4,5,3,2,5,1,2,2,3,5,2,4,4,5,1,5,4,5,2,67,74,8,10,11
"18014",18014,5,4,3,4,4,4,5,2,2,2,4,5,5,4,5,4,5,5,4,4,80,87,11,10,10
"18015",18015,5,5,4,5,5,5,5,5,5,4,5,4,5,5,5,1,5,5,5,2,90,98,12,7,13
"18016",18016,1,2,3,2,2,4,4,4,1,1,4,4,4,4,4,2,4,1,5,1,57,61,14,11,13
"18017",18017,3,2,2,3,3,4,3,4,2,4,5,2,4,4,4,5,2,4,5,3,68,65,13,6,13
"18018",18018,1,4,4,1,5,5,5,1,3,1,5,3,1,4,4,5,5,1,5,1,64,58,10,14,13
"18019",18019,4,4,4,4,3,3,4,4,2,4,5,5,1,4,4,5,5,5,3,4,77,68,11,5,10
"18020",18020,1,3,4,3,5,2,1,5,1,2,5,5,1,2,3,5,5,3,5,5,66,61,13,8,13
"18021",18021,3,3,3,5,4,3,4,3,1,3,5,5,3,5,3,1,5,5,5,5,74,80,9,10,13
"18022",18022,5,5,3,3,5,5,5,5,1,4,5,5,5,5,4,5,5,5,5,3,88,65,9,9,13
"18023",18023,4,5,2,3,5,2,5,1,1,1,5,5,5,3,4,5,5,4,5,4,74,79,10,5,11
"18024",18024,4,5,5,2,4,5,5,5,3,5,5,4,5,5,5,5,5,5,4,1,87,95,11,4,11
"18025",18025,5,5,1,4,3,3,2,5,3,3,3,3,5,4,3,2,2,2,5,3,66,76,11,6,14
"18026",18026,3,4,2,1,3,5,4,2,4,3,3,1,4,2,4,5,5,2,5,3,65,61,13,13,10
"18027",18027,4,4,2,5,4,4,4,5,3,4,5,5,3,4,4,5,5,4,5,1,80,84,11,8,12
"18028",18028,5,2,4,5,3,5,4,4,3,4,5,5,5,4,2,5,4,4,3,3,79,74,13,9,9
"18029",18029,4,4,3,5,4,5,2,3,5,4,5,5,4,5,3,4,1,2,5,1,74,88,12,11,16
"18030",18030,2,2,1,5,4,1,4,5,1,1,5,2,1,5,3,5,2,3,5,1,58,71,8,10,12
"18031",18031,3,2,4,2,2,5,5,2,2,2,2,3,1,2,3,2,3,4,5,1,55,53,10,6,12
"18032",18032,2,4,3,2,3,2,4,3,2,3,3,4,3,3,3,4,2,4,5,1,60,53,11,12,9
"18033",18033,4,3,2,2,1,2,5,4,1,1,2,4,4,5,2,2,4,4,5,1,58,54,14,13,13
"18034",18034,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,96,88,11,8,13
"18035",18035,4,4,4,5,4,4,4,5,5,2,5,4,3,5,4,5,3,4,5,5,84,86,8,4,15
"18036",18036,2,2,4,1,1,4,5,1,2,4,3,4,1,5,2,5,5,4,4,3,62,55,14,9,15
"18037",18037,3,4,1,4,3,3,3,5,3,3,5,4,2,5,2,4,1,5,1,3,64,58,9,10,10
"18038",18038,5,5,5,4,5,5,5,4,5,4,3,5,5,5,5,5,5,5,5,5,95,94,7,7,8
"18039",18039,1,2,3,4,5,1,2,2,1,2,4,2,4,3,5,4,2,2,5,1,55,55,13,7,14
"18040",18040,4,4,4,5,4,4,4,4,3,4,5,4,4,5,4,4,4,4,5,1,80,65,10,9,15
"18041",18041,1,4,4,1,1,2,4,1,1,2,3,1,1,5,3,1,5,4,5,2,51,51,14,10,14
"18042",18042,3,2,3,3,3,4,4,3,2,1,4,4,3,3,3,3,3,3,5,3,62,54,7,9,17
"18043",18043,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,1,5,5,5,5,94,111,11,12,8
"18044",18044,4,2,4,2,2,4,4,5,2,4,2,5,2,4,2,4,1,2,2,1,58,56,12,9,11
"18045",18045,4,5,2,3,4,2,4,5,1,3,5,4,3,5,2,2,5,2,5,2,68,67,11,10,12
"18046",18046,5,5,5,2,5,5,5,4,1,4,5,5,4,5,4,5,1,5,5,1,81,69,9,5,11
"18047",18047,5,4,5,3,4,4,5,1,3,5,4,2,2,4,4,3,5,5,3,1,72,88,13,9,9
"18048",18048,5,5,4,1,5,5,5,2,1,5,5,5,2,5,5,5,2,2,5,1,75,68,13,7,14
"18049",18049,2,4,3,3,1,5,5,1,3,5,5,4,1,3,4,5,5,5,4,3,71,62,13,11,13
"18050",18050,2,4,5,3,4,5,5,4,5,3,4,3,2,5,4,5,5,5,5,2,80,73,13,9,11
"18051",18051,1,1,1,1,1,3,3,1,1,1,2,1,1,2,2,1,5,4,4,1,37,30,13,10,9
"18052",18052,2,4,4,2,5,4,2,2,2,2,5,4,2,5,4,4,1,4,5,1,64,66,10,5,10
"18053",18053,5,4,5,5,4,4,5,4,3,4,5,5,1,5,4,5,5,2,5,2,82,81,14,3,20
"18054",18054,5,1,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,95,97,8,2,14
