"","X","Q1A","Q2A","Q3A","Q4A","Q5A","Q6A","Q7A","Q8A","Q9A","Q10A","Q11A","Q12A","Q13A","Q14A","Q15A","Q16A","Q17A","Q18A","Q19A","Q20A","T1","T2","otwartosc","ugodowosc","kalafior"
"17501",17501,3,4,1,5,1,2,4,3,1,3,5,2,1,5,3,5,4,1,1,1,55,65,9,8,18
"17502",17502,4,5,4,5,4,5,5,4,4,5,5,4,4,5,5,5,1,4,5,3,86,75,9,6,13
"17503",17503,4,4,2,4,4,3,4,5,2,4,4,4,4,5,4,4,5,2,5,1,74,77,10,9,15
"17504",17504,4,4,2,3,2,4,2,4,4,2,5,5,4,5,3,5,5,5,5,3,76,82,5,7,15
"17505",17505,4,4,2,1,2,4,4,2,1,2,4,2,2,2,4,4,2,4,5,1,56,62,12,12,14
"17506",17506,5,4,2,4,4,4,5,2,3,2,2,2,2,5,4,4,5,2,5,2,68,69,13,9,10
"17507",17507,3,3,5,3,4,4,4,3,1,1,3,4,1,3,2,4,2,4,4,1,59,64,12,11,15
"17508",17508,4,3,4,4,5,4,5,4,5,4,5,5,5,5,5,5,5,4,5,4,90,84,14,3,13
"17509",17509,1,1,4,2,1,5,5,2,1,1,5,4,1,5,4,5,4,1,5,1,58,61,13,9,16
"17510",17510,1,2,4,1,2,3,3,1,1,3,4,2,1,2,3,4,4,2,5,1,49,51,11,11,15
"17511",17511,5,5,4,5,5,5,5,5,4,5,5,5,4,5,5,4,5,4,5,3,93,95,12,4,12
"17512",17512,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,96,92,11,7,10
"17513",17513,4,4,4,1,4,4,4,4,1,4,2,2,1,3,4,1,5,4,4,2,62,69,11,8,12
"17514",17514,4,2,4,2,2,4,4,2,2,2,5,5,4,4,5,4,5,4,5,4,73,77,8,4,12
"17515",17515,4,4,2,1,4,4,5,4,1,1,5,1,1,4,5,2,1,4,2,1,56,47,5,12,11
"17516",17516,4,4,4,5,5,4,4,2,4,2,4,4,4,3,4,5,2,2,2,3,71,72,11,8,14
"17517",17517,4,4,1,3,5,5,5,4,1,5,4,5,5,5,5,1,5,4,5,1,77,70,14,13,15
"17518",17518,2,4,2,4,2,2,4,1,4,4,4,2,2,4,4,4,2,2,2,2,57,57,12,13,9
"17519",17519,4,3,1,3,4,5,5,4,3,2,5,5,5,5,4,3,4,4,4,3,76,65,10,7,12
